Index,Name,Title,Image URL,Social Media Link,Confirmed?,Outreach,Location,Notes,Track
66,Ofer Leidner,Co-Founder & President at Talkspace,,,0,Ann,NYC,Online therapy platform,Psychology & Statistics
67,Roni Frank,Co-Founder & Head of Clinical at Talkspace,,,0,Ann,NYC,Online therapy platform,Psychology & Statistics
68,Tal Yarkoni,X-moonshot factory,,,0,Matt,SF,University professors/PhD's?,Psychology & Statistics
69,,,,,0,,,University professors/PhD's?,Psychology & Statistics
70,,,,,0,,,University professors/PhD's?,Psychology & Statistics
71,,,,,0,,,University professors/PhD's?,Psychology & Statistics
72,,,,,0,,,University professors/PhD's?,Psychology & Statistics
73,,,,,0,,,University professors/PhD's?,Psychology & Statistics
74,,,,,0,,,,Psychology & Statistics
75,,,,,0,,,,Psychology & Statistics
76,,,,,0,,,,Psychology & Statistics
77,,,,,0,,,,Psychology & Statistics
78,,,,,0,,,,Psychology & Statistics
79,,,,,0,,,,Psychology & Statistics
80,Ava,https://www.avabear.xyz/,,,0,Ann,NYC,Rat Adjacent,Relationship Blogger
81,Henrik Karlsson,https://www.henrikkarlsson.xyz/about,,,0,Ann?,Scandanavia,Rat Adjacent,Relationship Blogger
82,,,,,0,,,,Relationship Blogger
83,,,,,0,,,,Relationship Blogger
84,,,,,0,,,,Relationship Blogger
85,,,,,0,,,,Relationship Blogger
86,,,,,0,,,,Relationship Blogger
87,,,,,0,,,,Relationship Blogger
88,,,,,0,,,,Relationship Blogger
89,,,,,0,,,,Relationship Blogger
90,,,,,0,,,,Relationship Blogger
91,,,,,0,,,,Relationship Blogger
92,,,,,0,,,,Relationship Blogger
93,,,,,0,,,,Relationship Blogger
94,,,,,0,,,,Relationship Blogger
95,,,,,0,,,,Relationship Blogger
96,,,,,0,,,,Relationship Blogger
97,Ann Pierce,,,,0,,,,Host
98,Matthew Fisher,,,,0,,,,Host
